movieId,title,year,genres
1,b'Toy Story',1995,Adventure|Animation|Children|Comedy|Fantasy
2,b'Jumanji',1995,Adventure|Children|Fantasy
3,b'Grumpier Old Men',1995,Comedy|Romance
4,b'Waiting to Exhale',1995,Comedy|Drama|Romance
5,b'Father of the Bride Part II',1995,Comedy
6,b'Heat',1995,Action|Crime|Thriller
7,b'Sabrina',1995,Comedy|Romance
8,b'Tom and Huck',1995,Adventure|Children
9,b'Sudden Death',1995,Action
10,b'GoldenEye',1995,Action|Adventure|Thriller
11,"b'American President, The'",1995,Comedy|Drama|Romance
12,b'Dracula: Dead and Loving It',1995,Comedy|Horror
13,b'Balto',1995,Adventure|Animation|Children
14,b'Nixon',1995,Drama
15,b'Cutthroat Island',1995,Action|Adventure|Romance
16,b'Casino',1995,Crime|Drama
17,b'Sense and Sensibility',1995,Drama|Romance
18,b'Four Rooms',1995,Comedy
19,b'Ace Ventura: When Nature Calls',1995,Comedy
20,b'Money Train',1995,Action|Comedy|Crime|Drama|Thriller
21,b'Get Shorty',1995,Comedy|Crime|Thriller
22,b'Copycat',1995,Crime|Drama|Horror|Mystery|Thriller
23,b'Assassins',1995,Action|Crime|Thriller
24,b'Powder',1995,Drama|Sci-Fi
25,b'Leaving Las Vegas',1995,Drama|Romance
26,b'Othello',1995,Drama
27,b'Now and Then',1995,Children|Drama
28,b'Persuasion',1995,Drama|Romance
29,"b'City of Lost Children, The (Cit\xc3\xa9 des enfants perdus, La)'",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,b'Shanghai Triad (Yao a yao yao dao waipo qiao)',1995,Crime|Drama
31,b'Dangerous Minds',1995,Drama
32,b'Twelve Monkeys (a.k.a. 12 Monkeys)',1995,Mystery|Sci-Fi|Thriller
33,b'Wings of Courage',1995,Adventure|Romance|IMAX
34,b'Babe',1995,Children|Drama
35,b'Carrington',1995,Drama|Romance
36,b'Dead Man Walking',1995,Crime|Drama
37,b'Across the Sea of Time',1995,Documentary|IMAX
38,b'It Takes Two',1995,Children|Comedy
39,b'Clueless',1995,Comedy|Romance
40,"b'Cry, the Beloved Country'",1995,Drama
41,b'Richard III',1995,Drama|War
42,b'Dead Presidents',1995,Action|Crime|Drama
43,b'Restoration',1995,Drama
44,b'Mortal Kombat',1995,Action|Adventure|Fantasy
45,b'To Die For',1995,Comedy|Drama|Thriller
46,b'How to Make an American Quilt',1995,Drama|Romance
47,b'Seven (a.k.a. Se7en)',1995,Mystery|Thriller
48,b'Pocahontas',1995,Animation|Children|Drama|Musical|Romance
50,"b'Usual Suspects, The'",1995,Crime|Mystery|Thriller
52,b'Mighty Aphrodite',1995,Comedy|Drama|Romance
53,b'Lamerica',1994,Adventure|Drama
54,"b'Big Green, The'",1995,Children|Comedy
55,b'Georgia',1995,Drama
57,b'Home for the Holidays',1995,Drama
58,"b'Postman, The (Postino, Il)'",1994,Comedy|Drama|Romance
59,"b'Confessional, The (Confessionnal, Le)'",1995,Drama|Mystery
60,"b'Indian in the Cupboard, The'",1995,Adventure|Children|Fantasy
61,b'Eye for an Eye',1996,Drama|Thriller
62,"b""Mr. Holland's Opus""",1995,Drama
63,"b""Don't Be a Menace to South Central While Drinking Your Juice in the Hood""",1996,Comedy|Crime
64,b'Two if by Sea',1996,Comedy|Romance
65,b'Bio-Dome',1996,Comedy
66,b'Lawnmower Man 2: Beyond Cyberspace',1996,Action|Sci-Fi|Thriller
67,b'Two Bits',1995,Drama
68,b'French Twist (Gazon maudit)',1995,Comedy|Romance
69,b'Friday',1995,Comedy
70,b'From Dusk Till Dawn',1996,Action|Comedy|Horror|Thriller
71,b'Fair Game',1995,Action
72,b'Kicking and Screaming',1995,Comedy|Drama
73,"b'Mis\xc3\xa9rables, Les'",1995,Drama|War
74,b'Bed of Roses',1996,Drama|Romance
76,b'Screamers',1995,Action|Sci-Fi|Thriller
77,b'Nico Icon',1995,Documentary
78,"b'Crossing Guard, The'",1995,Action|Crime|Drama|Thriller
79,"b'Juror, The'",1996,Drama|Thriller
80,"b'White Balloon, The (Badkonake sefid)'",1995,Children|Drama
81,"b""Things to Do in Denver When You're Dead""",1995,Crime|Drama|Romance
82,"b""Antonia's Line (Antonia)""",1995,Comedy|Drama
83,b'Once Upon a Time... When We Were Colored',1995,Drama|Romance
84,b'Last Summer in the Hamptons',1995,Comedy|Drama
85,b'Angels and Insects',1995,Drama|Romance
86,b'White Squall',1996,Action|Adventure|Drama
87,b'Dunston Checks In',1996,Children|Comedy
88,b'Black Sheep',1996,Comedy
89,b'Nick of Time',1995,Action|Thriller
92,b'Mary Reilly',1996,Drama|Horror|Thriller
93,b'Vampire in Brooklyn',1995,Comedy|Horror|Romance
94,b'Beautiful Girls',1996,Comedy|Drama|Romance
95,b'Broken Arrow',1996,Action|Adventure|Thriller
96,b'In the Bleak Midwinter',1995,Comedy|Drama
97,"b'Hate (Haine, La)'",1995,Crime|Drama
98,b'Shopping',1994,Action|Thriller
99,b'Heidi Fleiss: Hollywood Madam',1995,Documentary
100,b'City Hall',1996,Drama|Thriller
101,b'Bottle Rocket',1996,Adventure|Comedy|Crime|Romance
102,b'Mr. Wrong',1996,Comedy
103,b'Unforgettable',1996,Mystery|Sci-Fi|Thriller
104,b'Happy Gilmore',1996,Comedy
105,"b'Bridges of Madison County, The'",1995,Drama|Romance
